Election,Election Date,Race Name,County
General,03-Nov-26,State House District 25 ,Multi-County Race
General,03-Nov-26,State House District 26,Multi-County Race
General,03-Nov-26,State House District 27,Multi-County Race
General,03-Nov-26,State House District 28 ,Multi-County Race
General,03-Nov-26,State House District 29 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 30,Multi-County Race
General,03-Nov-26,Shall RICK WESTMORELAND be retained in the office of Judge of the Juvenile Court of the Second Judicial District?,Multi-County Race
General,03-Nov-26,State House District 72,Multi-County Race
General,03-Nov-26,State House District 73,Multi-County Race
General,03-Nov-26,State House District 74,Multi-County Race
General,03-Nov-26,State House District 75,Multi-County Race
General,03-Nov-26,State Senate District 28 (Multi-County),Multi-County Race
General,03-Nov-26,Shall CORAL SANCHEZ be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race
General,03-Nov-26,Shall TODD SHAUGHNESSY be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race
General,03-Nov-26,State House District 48,Multi-County Race
General,03-Nov-26,State House District 47,Multi-County Race
General,03-Nov-26,State House District 49,Multi-County Race
General,03-Nov-26,State House District 31,Multi-County Race
General,03-Nov-26,State House District 32,Multi-County Race
General,03-Nov-26,State House District 33,Multi-County Race
General,03-Nov-26,State House District 34,Multi-County Race
General,03-Nov-26,State House District 35,Multi-County Race
General,03-Nov-26,State House District 36,Multi-County Race
General,03-Nov-26,State House District 37,Multi-County Race
General,03-Nov-26,State House District 38,Multi-County Race
General,03-Nov-26,State House District 39,Multi-County Race
General,03-Nov-26,State House District 40,Multi-County Race
General,03-Nov-26,State House District 41,Multi-County Race
General,03-Nov-26,State House District 42,Multi-County Race
General,03-Nov-26,State House District 43,Multi-County Race
General,03-Nov-26,State House District 44,Multi-County Race
General,03-Nov-26,State House District 45,Multi-County Race
General,03-Nov-26,State House District 46,Multi-County Race
General,03-Nov-26,Shall MATTHEW L. BELL be retained in the office of Judge of the District Court of the Fifth Judicial District?,Multi-County Race
General,03-Nov-26,State House District 1 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 2,Multi-County Race
General,03-Nov-26,State House District 3,Multi-County Race
General,03-Nov-26,State House District 4 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 5,Multi-County Race
General,03-Nov-26,State House District 6 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 7,Multi-County Race
General,03-Nov-26,State House District 8 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 9,Multi-County Race
General,03-Nov-26,State House District 10,Multi-County Race
General,03-Nov-26,State Senate District 5 (Multi-County),Multi-County Race
General,03-Nov-26,State Senate District 6,Multi-County Race
General,03-Nov-26,State Senate District 7 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 11 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 12 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 13,Multi-County Race
General,03-Nov-26,State House District 14,Multi-County Race
General,03-Nov-26,State House District 15,Multi-County Race
General,03-Nov-26,State House District 16,Multi-County Race
General,03-Nov-26,State House District 17,Multi-County Race
General,03-Nov-26,State House District 18,Multi-County Race
General,03-Nov-26,State House District 19,Multi-County Race
General,03-Nov-26,State House District 20,Multi-County Race
General,03-Nov-26,State School Board District 4 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 50,Multi-County Race
General,03-Nov-26,State House District 51,Multi-County Race
General,03-Nov-26,State House District 52,Multi-County Race
General,03-Nov-26,State House District 53,Multi-County Race
General,03-Nov-26,State House District 54,Multi-County Race
General,03-Nov-26,State House District 55,Multi-County Race
General,03-Nov-26,State House District 56,Multi-County Race
General,03-Nov-26,State House District 57,Multi-County Race
General,03-Nov-26,State House District 58,Multi-County Race
General,03-Nov-26,State House District 59 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 60,Multi-County Race
General,03-Nov-26,State House District 61,Multi-County Race
General,03-Nov-26,State House District 62,Multi-County Race
General,03-Nov-26,State House District 63,Multi-County Race
General,03-Nov-26,State House District 64,Multi-County Race
General,03-Nov-26,State House District 65,Multi-County Race
General,03-Nov-26,State House District 66 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 67 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 68 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 69 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 70 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 71,Multi-County Race
General,03-Nov-26,U.S. House District 1,Multi-County Race
General,03-Nov-26,U.S. House District 2,Multi-County Race
General,03-Nov-26,U.S. House District 3,Multi-County Race
General,03-Nov-26,U.S. House District 4,Multi-County Race
General,03-Nov-26,State Senate District 1 (Multi-County),Multi-County Race
General,03-Nov-26,State Senate District 9,Multi-County Race
General,03-Nov-26,State Senate District 11 (Multi-County),Multi-County Race
General,03-Nov-26,State Senate District 12,Multi-County Race
General,03-Nov-26,State Senate District 13,Multi-County Race
General,03-Nov-26,State Senate District 14,Multi-County Race
General,03-Nov-26,State Senate District 18 (Multi-County),Multi-County Race
General,03-Nov-26,State Senate District 19 (Multi-County),Multi-County Race
General,03-Nov-26,State Senate District 20 (Multi-County),Multi-County Race
General,03-Nov-26,State Senate District 21,Multi-County Race
General,03-Nov-26,State Senate District 23,Multi-County Race
General,03-Nov-26,State School Board District 1 (Multi-County),Multi-County Race
General,03-Nov-26,State School Board District 2,Multi-County Race
General,03-Nov-26,State School Board District 5,Multi-County Race
General,03-Nov-26,State School Board District 7 (2-Year Term),Multi-County Race
General,03-Nov-26,State School Board District 8,Multi-County Race
General,03-Nov-26,State School Board Distrct 11 (Multi-County),Multi-County Race
General,03-Nov-26,State School Board District 14 (Multi-County),Multi-County Race
General,03-Nov-26,Shall MATTHEW DAVID BATES be retained in the office of Judge of the District Court of the Third Judicial District?,Multi-County Race
General,03-Nov-26,Shall STEVEN K. BECK be retained in the office of Judge of the Juvenile Court of the Third Judicial District?,Multi-County Race
General,03-Nov-26,State House District 21,Multi-County Race
General,03-Nov-26,State House District 22,Multi-County Race
General,03-Nov-26,State House District 23 (Multi-County),Multi-County Race
General,03-Nov-26,State House District 24,Multi-County Race
General,03-Nov-26,Clerk/Auditor,Beaver
General,03-Nov-26,Beaver School Board 5,Beaver
General,03-Nov-26,Beaver School Board 4,Beaver
General,03-Nov-26,Shall Von J. Christiansen be elected to the office of County Attorney?,Beaver
General,03-Nov-26,Sheriff,Beaver
General,03-Nov-26,Commissioner B,Beaver
General,03-Nov-26,Commissioner A,Beaver
General,03-Nov-26,Box Elder County Clerk,Box Elder
General,03-Nov-26,Box Elder County Auditor,Box Elder
General,03-Nov-26,Box Elde County Attorney,Box Elder
General,03-Nov-26,Box Elder County Commissioner Seat B,Box Elder
General,03-Nov-26,Box Elder County School Board District 4,Box Elder
General,03-Nov-26,Box Elder County Sheriff,Box Elder
General,03-Nov-26,Box Elder County School Board District 3,Box Elder
General,03-Nov-26,Box Elder County School Board District 7,Box Elder
General,03-Nov-26,Box Elder County Commissioner Seat A,Box Elder
General,03-Nov-26,Cache Water District Board South 6,Cache
General,03-Nov-26,Cache Water District Board Southeast 7,Cache
General,03-Nov-26,Cache County Sheriff,Cache
General,03-Nov-26,Cache Water District Board Northeast 5,Cache
General,03-Nov-26,Cache Water District Board Logan 3,Cache
General,03-Nov-26,Cache Water District Board At-large,Cache
General,03-Nov-26,County Executive/Surveyor,Cache
General,03-Nov-26,Cache County Council Logan Seat 2,Cache
General,03-Nov-26,Cache County Council Southeast 7,Cache
General,03-Nov-26,Cache County Council Northeast 5,Cache
General,03-Nov-26,County Clerk,Cache
General,03-Nov-26,Logan City School Board District 5,Cache
General,03-Nov-26,Cache County Council Logan Seat 3,Cache
General,03-Nov-26,County Attorney,Cache
General,03-Nov-26,County Auditor,Cache
General,03-Nov-26,Cache County School Board District 2,Cache
General,03-Nov-26,Cache County School Board District 4,Cache
General,03-Nov-26,Cache County School Board District 7,Cache
General,03-Nov-26,Logan City School Board District 3,Cache
General,03-Nov-26,County Attorney,Carbon
General,03-Nov-26,Commissioner,Carbon
General,03-Nov-26,Commissioner/Surveyor,Carbon
General,03-Nov-26,Clerk/Auditor,Carbon
General,03-Nov-26,Sheriff,Carbon
General,03-Nov-26,School Board District 5,Carbon
General,03-Nov-26,School Board District 4,Carbon
General,03-Nov-26,School Board District 1,Daggett
General,03-Nov-26,School Board District 2,Daggett
General,03-Nov-26,School Board District 3,Daggett
General,03-Nov-26,Flaming Gorge Fire and EMS District At Large,Daggett
General,03-Nov-26,FLAMING GORGE FIRE AND EMS DISTRICT EAST,Daggett
General,03-Nov-26,Flaming Gorge Fire & EMS District West,Daggett
General,03-Nov-26,Auditor,Daggett
General,03-Nov-26,Commissioner A,Daggett
General,03-Nov-26,Commissioner B,Daggett
General,03-Nov-26,Sheriff,Daggett
General,03-Nov-26,Davis School Board District 5,Davis
General,03-Nov-26,US Senate,Davis
General,03-Nov-26,Davis School Board District 3,Davis
General,03-Nov-26,County Sheriff,Davis
General,03-Nov-26,County Controller,Davis
General,03-Nov-26,Davis School Board District 6,Davis
General,03-Nov-26,County Commissioner Seat A,Davis
General,03-Nov-26,County Clerk,Davis
General,03-Nov-26,County Attorney,Davis
General,03-Nov-26,Shall John Carl Ynchausti be retained in the office of Judge of the Davis County Justice Court?,Davis
General,03-Nov-26,Davis School Board District 7,Davis
General,03-Nov-26,County Commissioner Seat B,Davis
General,03-Nov-26,County Commissioner Seat A,Duchesne
General,03-Nov-26,County Commissioner Seat B,Duchesne
General,03-Nov-26,County Clek/Auditor,Duchesne
General,03-Nov-26,County Attorney,Duchesne
General,03-Nov-26,County Sheriff,Duchesne
General,03-Nov-26,Local School Board # 1,Duchesne
General,03-Nov-26,Local School Board # 2,Duchesne
General,03-Nov-26,Local School Board # 3,Duchesne
General,03-Nov-26,Emery County School District #5,Emery
General,03-Nov-26,Recorder,Emery
General,03-Nov-26,Treasurer,Emery
General,03-Nov-26,Attorney,Emery
General,03-Nov-26,Emery County School District #4,Emery
General,03-Nov-26,Clerk/Auditor,Emery
General,03-Nov-26,Commissioner B,Emery
General,03-Nov-26,Commissioner A,Emery
General,03-Nov-26,Sheriff,Emery
General,03-Nov-26,Garfield County School Board #4,Garfield
General,03-Nov-26,Garfield County School Board #5,Garfield
General,03-Nov-26,Garfield County Sheriff,Garfield
General,03-Nov-26,Garfield County Commission Seat B,Garfield
General,03-Nov-26,Garfield County Commission Seat A,Garfield
General,03-Nov-26,Garfield County Clerk/Auditor,Garfield
General,03-Nov-26,Garfield County Attorney,Garfield
General,03-Nov-26,Grand County Commission District 4,Grand
General,03-Nov-26,Grand County School Board District 5,Grand
General,03-Nov-26,Moab Valley Fire District,Grand
General,03-Nov-26,Grand County Commission At-Large,Grand
General,03-Nov-26,Grand County School Board District 1,Grand
General,03-Nov-26,Grand County Sheriff,Grand
General,03-Nov-26,Grand County Clerk/Auditor,Grand
General,03-Nov-26,Grand County Attorney,Grand
General,03-Nov-26,Grand County Commission District 5,Grand
General,03-Nov-26,Spanish Valley Water and Sewer Improvement District,Grand
General,03-Nov-26,5th Local School Board District 5,Iron
General,03-Nov-26,4th Local School Board District 4,Iron
General,03-Nov-26,County Sheriff,Iron
General,03-Nov-26,County Commissioner B,Iron
General,03-Nov-26,7th Local School Board District 7,Iron
General,03-Nov-26,County Attorney,Iron
General,03-Nov-26,County Clerk ,Iron
General,03-Nov-26,County Commissioner A,Iron
General,03-Nov-26,6th Local School Board District 6,Iron
General,03-Nov-26,County Auditor,Iron
General,03-Nov-26,County Attorney,Juab
General,03-Nov-26,County Clerk/Auditor,Juab
General,03-Nov-26,County Commissioner Seat A,Juab
General,03-Nov-26,County Commissioner Seat B,Juab
General,03-Nov-26,County Sheriff,Juab
General,03-Nov-26,Juab School District 4,Juab
General,03-Nov-26,Juab School District 5,Juab
General,03-Nov-26,Tintic School District 4,Juab
General,03-Nov-26,Tintic School District 5,Juab
General,03-Nov-26,Kane County Commissioner Seat A,Kane
General,03-Nov-26,Kane County Commissioner Seat B,Kane
General,03-Nov-26,Kane County Attorney,Kane
General,03-Nov-26,Kane County Clerk/Auditor,Kane
General,03-Nov-26,Kane County Sheriff,Kane
General,03-Nov-26,Kane County School Board Seat 4,Kane
General,03-Nov-26,Kane County School Board Seat 5,Kane
General,03-Nov-26,Vermillion Cliffs SSD,Kane
General,03-Nov-26,Commission Seat A,Millard
General,03-Nov-26,Commission Seat B,Millard
General,03-Nov-26,County Assessor 2 Year,Millard
General,03-Nov-26,County Attorney,Millard
General,03-Nov-26,County Auditor,Millard
General,03-Nov-26,County Clerk,Millard
General,03-Nov-26,County Sheriff,Millard
General,03-Nov-26,Millard School Board District 4,Millard
General,03-Nov-26,Millard School Board District 5,Millard
General,03-Nov-26,Morgan County Commissioin at Large A ,Morgan
General,03-Nov-26,Morgan County Commission at Large B ,Morgan
General,03-Nov-26,Morgan County Attorney ,Morgan
General,03-Nov-26,Morgan County Clerk/Auditor ,Morgan
General,03-Nov-26,Morgan County Sheriff,Morgan
General,03-Nov-26,Morga School Board District#2,Morgan
General,03-Nov-26,Morgan School Board District #4,Morgan
General,03-Nov-26,County Clerk/Auditor,Piute
General,03-Nov-26,County Attorney,Piute
General,03-Nov-26,County Commissioner A,Piute
General,03-Nov-26,County Commissioner B,Piute
General,03-Nov-26,County Sheriff,Piute
General,03-Nov-26,Piute County School District 1,Piute
General,03-Nov-26,Piute County School District 2,Piute
General,03-Nov-26,Piute County School District 3,Piute
General,03-Nov-26,Rich County Commissioner Seat A,Rich
General,03-Nov-26,Rich County Commissioner Seat B,Rich
General,03-Nov-26,Rich County Sheriff,Rich
General,03-Nov-26,Rich County Clerk/Auditor,Rich
General,03-Nov-26,Rich County School Board # 3,Rich
General,03-Nov-26,Rich County School Board # 4,Rich
General,03-Nov-26,Shall PAUL CURTIS FARR be retained in the office of Justice Court Judge of the Alta Municipal Justice Court?,Salt Lake
General,03-Nov-26,Shall AUGUSTUS GRIFFITH CHIN be retained in the office of Justice Court Judge of the Holladay Municipal Justice Court?,Salt Lake
General,03-Nov-26,County Council At-Large A,Salt Lake
General,03-Nov-26,County Council District 1,Salt Lake
General,03-Nov-26,County Council District 3,Salt Lake
General,03-Nov-26,County Council District 5,Salt Lake
General,03-Nov-26,County Auditor,Salt Lake
General,03-Nov-26,County Clerk,Salt Lake
General,03-Nov-26,County District Attorney,Salt Lake
General,03-Nov-26,County Sheriff,Salt Lake
General,03-Nov-26,Canyons School Board District 2,Salt Lake
General,03-Nov-26,Canyons School Board District 4,Salt Lake
General,03-Nov-26,Canyons School Board District 5,Salt Lake
General,03-Nov-26,Canyons School Board District 6,Salt Lake
General,03-Nov-26,Granite School Board District 3,Salt Lake
General,03-Nov-26,Granite School Board District 5,Salt Lake
General,03-Nov-26,Granite School Board District 6,Salt Lake
General,03-Nov-26,Granite School Board District 7,Salt Lake
General,03-Nov-26,Jordan School Board District 2,Salt Lake
General,03-Nov-26,Jordan School Board District 3,Salt Lake
General,03-Nov-26,Jordan School Board District 7,Salt Lake
General,03-Nov-26,Murray School Board District 2,Salt Lake
General,03-Nov-26,Murray School Board District 3,Salt Lake
General,03-Nov-26,Murray School Board District 4,Salt Lake
General,03-Nov-26,Salt Lake School Board District 5 (2 Year Term),Salt Lake
General,03-Nov-26,Salt Lake School Board District 3,Salt Lake
General,03-Nov-26,Salt Lake School Board District 4,Salt Lake
General,03-Nov-26,Salt Lake School Board District 6,Salt Lake
General,03-Nov-26,White City Water Improvement District Trustee At-Large,Salt Lake
General,03-Nov-26,Magna Water District Trustee At-Large,Salt Lake
General,03-Nov-26,County Commissioner District 2,San Juan
General,03-Nov-26,County Commissioner District 3,San Juan
General,03-Nov-26,County Attorney,San Juan
General,03-Nov-26,County ClerkAuditor,San Juan
General,03-Nov-26,County Sheriff,San Juan
General,03-Nov-26,Grand School Board District 1,San Juan
General,03-Nov-26,Grand School Board District 5,San Juan
General,03-Nov-26,San Juan School Board District 3,San Juan
General,03-Nov-26,San Juan School Board District 5,San Juan
General,03-Nov-26,County Attorney,Sanpete
General,03-Nov-26,County Auditor,Sanpete
General,03-Nov-26,County Clerk,Sanpete
General,03-Nov-26,County Commissioner Seat A,Sanpete
General,03-Nov-26,County Commissioner Seat B,Sanpete
General,03-Nov-26,County Sheriff,Sanpete
General,03-Nov-26,North Sanpete School District # 4,Sanpete
General,03-Nov-26,North Sanpete School District # 5,Sanpete
General,03-Nov-26,South Sanpete School District #1 ,Sanpete
General,03-Nov-26,South Sanpete School District # 4,Sanpete
General,03-Nov-26,South Sanpete School District # 5,Sanpete
General,03-Nov-26,Commissioner B,Sevier
General,03-Nov-26,County Attorney,Sevier
General,03-Nov-26,Commissioner A,Sevier
General,03-Nov-26,County Clerk/Auditor,Sevier
General,03-Nov-26,County Sheriff,Sevier
General,03-Nov-26,Local School Board 1,Sevier
General,03-Nov-26,Local School Board 2,Sevier
General,03-Nov-26,Local School Board 3,Sevier
General,03-Nov-26,Summit County Council District 4,Summit
General,03-Nov-26,Summit County Council District 5,Summit
General,03-Nov-26,Summit County Attorney,Summit
General,03-Nov-26,Summit County Auditor,Summit
General,03-Nov-26,Summit County Clerk,Summit
General,03-Nov-26,Summit County Sheriff,Summit
General,03-Nov-26,Park City School Board Seat 4,Summit
General,03-Nov-26,Park City School Board Seat 5,Summit
General,03-Nov-26,North Summit School Board Seat 4,Summit
General,03-Nov-26,North Summit School Board Seat 5,Summit
General,03-Nov-26,South Summit School Board Seat 4,Summit
General,03-Nov-26,South Summit School Board Seat 5,Summit
General,03-Nov-26,County Attorney,Tooele
General,03-Nov-26,County Auditor,Tooele
General,03-Nov-26,County Clerk,Tooele
General,03-Nov-26,County Sheriff,Tooele
General,03-Nov-26,County Council - District 2,Tooele
General,03-Nov-26,County Council - District 5,Tooele
General,03-Nov-26,Local School Board - District 5,Tooele
General,03-Nov-26,Local School Board - District 6,Tooele
General,03-Nov-26,Local School Board - District 7,Tooele
General,03-Nov-26,Shall RAY R. RICHARDS be retained in the office of Justice Court Judge of the Uintah County Justice Court?,Uintah
General,03-Nov-26,Uintah County Commission Seat B,Uintah
General,03-Nov-26,Uintah County Commission Seat A,Uintah
General,03-Nov-26,Uintah County Attorney,Uintah
General,03-Nov-26,Uintah County Clerk-Auditor,Uintah
General,03-Nov-26,Uintah County Sheriff,Uintah
General,03-Nov-26,Uintah School Board District #1,Uintah
General,03-Nov-26,Uintah School Board District #2,Uintah
General,03-Nov-26,Uintah School Board District #3,Uintah
General,03-Nov-26,County Auditor,Utah
General,03-Nov-26,County Attorney,Utah
General,03-Nov-26,County Clerk,Utah
General,03-Nov-26,County Commission Seat A,Utah
General,03-Nov-26,County Commission Seat B,Utah
General,03-Nov-26,County Sheriff,Utah
General,03-Nov-26,School Board Nebo 2,Utah
General,03-Nov-26,School Board Nebo 4,Utah
General,03-Nov-26,School Board Nebo 5,Utah
General,03-Nov-26,School Board Provo 1,Utah
General,03-Nov-26,School Board Provo 2,Utah
General,03-Nov-26,School Board Provo 3,Utah
General,03-Nov-26,School Board Provo 4,Utah
General,03-Nov-26,School Board Seat C,Wasatch
General,03-Nov-26,School Board Seat D,Wasatch
General,03-Nov-26,County Council Seat A - At Large,Wasatch
General,03-Nov-26,County Council Seat C,Wasatch
General,03-Nov-26,County Council Seat F,Wasatch
General,03-Nov-26,County Attorney,Wasatch
General,03-Nov-26,County Clerk/Auditor,Wasatch
General,03-Nov-26,County Sheriff,Wasatch
General,03-Nov-26,County Commission Seat A,Washington
General,03-Nov-26,County Commission Seat B,Washington
General,03-Nov-26,County Attorney,Washington
General,03-Nov-26,County Clerk/Auditor,Washington
General,03-Nov-26,County Sheriff,Washington
General,03-Nov-26,Local School Board 4,Washington
General,03-Nov-26,Local School Board 5,Washington
General,03-Nov-26,Local School Board 6,Washington
General,03-Nov-26,Local School Board 7,Washington
General,03-Nov-26,School Board,Wayne
General,03-Nov-26,County Commissioner Seat B,Wayne
General,03-Nov-26,County Commissioner Seat A,Wayne
General,03-Nov-26,County Attorney,Wayne
General,03-Nov-26,County Clerk/Auditor,Wayne
General,03-Nov-26,County Sheriff,Wayne
General,03-Nov-26,Justice of the Peace,Wayne
General,03-Nov-26,School Board,Wayne
General,03-Nov-26,County Commissioner A,Weber
General,03-Nov-26,County Commissioner B,Weber
General,03-Nov-26,County Assessor,Weber
General,03-Nov-26,County Attorney,Weber
General,03-Nov-26,County Clerk/Auditor,Weber
General,03-Nov-26,County Sheriff,Weber
General,03-Nov-26,Ogden School Board District 2,Weber
General,03-Nov-26,Ogden School Board District 4,Weber
General,03-Nov-26,Ogden School Board District 7,Weber
General,03-Nov-26,Ogden School Board District 6,Weber
General,03-Nov-26,Weber School Board District 1,Weber
General,03-Nov-26,Weber School Board District 2,Weber
General,03-Nov-26,Weber School Board District 3,Weber
General,03-Nov-26,Weber School Board District 6,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Farr West City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of North Ogden City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Pleasant Viewt City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Washington Terracet City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Uintah-Huntsville City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Ogden City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Ogden City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Plain City?,Weber
General,03-Nov-26,Shall XXX be retained in the office of Justice Court Judge of Roy City?,Weber